Episode : 432 / 10000, Score : 548, Max Tile : 256, Average: 534.8, Loss : 0.010
Episode : 433 / 10000, Score : 542, Max Tile : 256, Average: 535.0, Loss : 0.003
Episode : 434 / 10000, Score : 548, Max Tile : 256, Average: 535.2, Loss : 0.006
Episode : 435 / 10000, Score : 542, Max Tile : 256, Average: 535.4, Loss : 0.005
Episode : 436 / 10000, Score : 544, Max Tile : 256, Average: 535.6, Loss : 0.010
Episode : 437 / 10000, Score : 542, Max Tile : 256, Average: 535.8, Loss : 0.007
Episode : 438 / 10000, Score : 542, Max Tile : 256, Average: 536.0, Loss : 0.010
Episode : 439 / 10000, Score : 544, Max Tile : 256, Average: 536.1, Loss : 0.008
Episode : 440 / 10000, Score : 542, Max Tile : 256, Average: 536.3, Loss : 0.010
Episode : 441 / 10000, Score : 548, Max Tile : 256, Average: 536.5, Loss : 0.003
Episode : 442 / 10000, Score : 546, Max Tile : 256, Average: 536.8, Loss : 0.008
Episode : 443 / 10000, Score : 546, Max Tile : 256, Average: 537.0, Loss : 0.010
Episode : 444 / 10000, Score : 544, Max Tile : 256, Average: 537.2, Loss : 0.001
Episode : 445 / 10000, Score : 546, Max Tile : 256, Average: 537.4, Loss : 0.007
Episode : 446 / 10000, Score : 550, Max Tile : 256, Average: 537.7, Loss : 0.007
Episode : 447 / 10000, Score : 550, Max Tile : 256, Average: 537.7, Loss : 0.005
Episode : 448 / 10000, Score : 550, Max Tile : 256, Average: 537.9, Loss : 0.005
Episode : 449 / 10000, Score : 546, Max Tile : 256, Average: 538.1, Loss : 0.003
Episode : 450 / 10000, Score : 550, Max Tile : 256, Average: 538.3, Loss : 0.007
Episode : 451 / 10000, Score : 550, Max Tile : 256, Average: 538.5, Loss : 0.003
Episode : 452 / 10000, Score : 546, Max Tile : 256, Average: 538.7, Loss : 0.005
Episode : 453 / 10000, Score : 546, Max Tile : 256, Average: 538.9, Loss : 0.004
Episode : 454 / 10000, Score : 544, Max Tile : 256, Average: 539.0, Loss : 0.005
Episode : 455 / 10000, Score : 546, Max Tile : 256, Average: 539.2, Loss : 0.011
Episode : 456 / 10000, Score : 542, Max Tile : 256, Average: 539.4, Loss : 0.003
Episode : 457 / 10000, Score : 544, Max Tile : 256, Average: 539.5, Loss : 0.003
Episode : 458 / 10000, Score : 548, Max Tile : 256, Average: 539.8, Loss : 0.004
Episode : 459 / 10000, Score : 550, Max Tile : 256, Average: 539.9, Loss : 0.007
Episode : 460 / 10000, Score : 550, Max Tile : 256, Average: 540.0, Loss : 0.001
Episode : 461 / 10000, Score : 550, Max Tile : 256, Average: 540.2, Loss : 0.007
Episode : 462 / 10000, Score : 546, Max Tile : 256, Average: 540.4, Loss : 0.003
Episode : 463 / 10000, Score : 548, Max Tile : 256, Average: 540.5, Loss : 0.006
Episode : 464 / 10000, Score : 546, Max Tile : 256, Average: 540.6, Loss : 0.003
Episode : 465 / 10000, Score : 546, Max Tile : 256, Average: 540.7, Loss : 0.004
Episode : 466 / 10000, Score : 548, Max Tile : 256, Average: 540.9, Loss : 0.003
Episode : 467 / 10000, Score : 546, Max Tile : 256, Average: 541.0, Loss : 0.002
Episode : 468 / 10000, Score : 548, Max Tile : 256, Average: 541.1, Loss : 0.006
Episode : 469 / 10000, Score : 546, Max Tile : 256, Average: 541.3, Loss : 0.006
Episode : 470 / 10000, Score : 546, Max Tile : 256, Average: 541.3, Loss : 0.000
Episode : 471 / 10000, Score : 544, Max Tile : 256, Average: 541.4, Loss : 0.000
Episode : 472 / 10000, Score : 550, Max Tile : 256, Average: 541.6, Loss : 0.000
Episode : 473 / 10000, Score : 548, Max Tile : 256, Average: 541.8, Loss : 0.000
Episode : 474 / 10000, Score : 552, Max Tile : 256, Average: 541.9, Loss : 0.000
Episode : 475 / 10000, Score : 552, Max Tile : 256, Average: 542.1, Loss : 0.000
Episode : 476 / 10000, Score : 552, Max Tile : 256, Average: 542.3, Loss : 0.000
Episode : 477 / 10000, Score : 544, Max Tile : 256, Average: 542.4, Loss : 0.000
Episode : 478 / 10000, Score : 548, Max Tile : 256, Average: 542.5, Loss : 0.000
